,Model Name,Model Index,Aggregation,MSE,NRMSE,DeltaPhi,Neff,Rho,KL
0,Vanilla,0.0,Mean,3.887154804260717e-06,0.13900839930732542,0.0551839822544954,3.3547628501368543,0.8000003919005394,0.0
1,Vanilla,0.0,Std,2.017549184772938e-06,0.03306343091422755,0.01784882901120073,0.23619347305584734,1.663316045198464e-06,0.0
2,Gaussian,1.0,Mean,2.964589475595858e-05,0.38607930574634297,0.07090473528627389,4.957774282452565,0.9096941873431206,0.06184403784573078
3,Gaussian,1.0,Std,1.2047591363409203e-05,0.08156027370316578,0.018963718964526935,0.6421206606979506,1.1136811266965035e-06,0.00343126476783197
4,Hard Bimodal,2.0,Mean,4.8130659013878585e-08,0.015675026567026365,0.24040978254723758,1.2895341671712186,0.9096942916512489,0.016327578341588378
5,Hard Bimodal,2.0,Std,1.7218696374792372e-08,0.002662796435134556,0.24451529819910425,0.04144318906481935,1.602948738120228e-06,0.00023124619369606418
6,Soft Trimodal,3.0,Mean,1.2561703840674454e-05,0.2518692082295071,0.13406439477646442,2.383665692318872,0.9096955209970474,0.028325316961854696
7,Soft Trimodal,3.0,Std,5.012344367100993e-06,0.050396561496903323,0.1105502081962803,0.20387902141686798,1.0731940019149088e-06,0.001121051390432162
8,Edgy trimodal,4.0,Mean,1.3025346223827228e-07,0.025546605807497604,0.2113698343374945,1.5086760763750713,0.909693218767643,0.010653701494447887
9,Edgy trimodal,4.0,Std,5.519739395961427e-08,0.005612659997797884,0.18196137412805302,0.04805233891997316,2.197491878655835e-06,0.0003357961610091397
