,Model Name,Model Idx,MC,DeFi,Neff,MLLE
0,Small Gauss,0,13.188482284545898,0.049816187101842394,3.1419873251640924,0.26491892
1,Small Bim,1,5.654374122619629,0.14477200710379023,1.5121252273100307,-0.83895564
2,Big Gauss,2,13.655475616455078,0.06934775061523364,3.5441680108821245,0.24235597
3,Big Bim,3,8.268357276916504,0.358818878646789,1.6310989140040482,-0.6841283
4,Trim,4,12.464458465576172,0.07279429642101527,3.027379275630984,-0.8970659
5,Ensemble,5,13.617022514343262,0.05170106578905075,2.9890183344359316,-2.0589325
6,Small Gauss,0,11.81955623626709,0.14245578216865126,3.633831671729454,0.13037084
7,Small Bim,1,5.762845039367676,0.5654174450835954,1.3812522565166492,-0.63759625
8,Big Gauss,2,14.604640007019043,0.15701743868246784,3.1130260139938883,-0.02128622
9,Big Bim,3,8.035782814025879,0.15414968965988807,1.5311209754503152,-0.6347108
10,Trim,4,12.323031425476074,0.3701629805825568,2.9469572087028406,0.2697279
11,Ensemble,5,13.182662963867188,0.19489019224259324,3.476344205682573,-2.0301776
12,Small Gauss,0,13.107925415039062,0.13749486136488542,2.9557641322288317,0.25361335
13,Small Bim,1,5.921873092651367,0.12608163801612973,1.5692076092385576,-0.7150871
14,Big Gauss,2,14.656238555908203,0.08497048177819731,2.9091257270278508,0.23489188
15,Big Bim,3,8.290790557861328,0.1360742789913415,1.6793092046954106,-0.7152601
16,Trim,4,12.732275009155273,0.20946040404419888,2.973879155657445,-1.0210325
17,Ensemble,5,13.654491424560547,0.1591340728542805,2.869500405610321,-2.0103433
18,Small Gauss,0,12.411898612976074,0.0574385958696116,2.7577725683301697,0.19877139
19,Small Bim,1,5.681159496307373,0.2706261544231588,1.3881597301768684,-0.742191
20,Big Gauss,2,13.817020416259766,0.07474501327526385,3.6651704701898296,0.22241677
21,Big Bim,3,8.47943115234375,0.15895181287493262,1.5998986351271274,-0.8201119
22,Trim,4,12.968544006347656,0.06252224481292279,3.646938164737306,0.24134244
23,Ensemble,5,13.619909286499023,0.06743490976037383,2.6484629016174273,-2.0146568
24,Small Gauss,0,12.525646209716797,0.08578444912247514,3.895673503522158,0.24174087
25,Small Bim,1,5.684885025024414,0.17937182287162137,1.3382456643933625,-0.69700545
26,Big Gauss,2,13.459799766540527,0.054866105666553484,3.630945017528697,0.13426752
27,Big Bim,3,8.361735343933105,0.15380552138321746,1.633978144248495,-0.6177515
28,Trim,4,12.894521713256836,0.09167723195048012,2.5693226120289703,0.26869363
29,Ensemble,5,13.594738960266113,0.07672671741682083,3.6918337007710957,-2.0251808
30,Small Gauss,0,12.641118049621582,0.28978708261120595,3.180448910071697,0.27266267
31,Small Bim,1,5.921258926391602,0.07705318596233711,1.6436671711160888,-0.79836917
32,Big Gauss,2,13.71163272857666,0.05572303265274387,3.3285661350912905,0.22931083
33,Big Bim,3,8.185052871704102,0.08544131905279388,1.7765884026584131,-0.638056
34,Trim,4,12.667074203491211,0.07173757673758413,2.772587585072353,0.27790767
35,Ensemble,5,13.047186851501465,0.07518817349296986,3.076311670406986,-2.016512
36,Small Gauss,0,12.729718208312988,0.0814205848713234,3.5489326471981304,0.25798252
37,Small Bim,1,5.568884372711182,0.5286838175863428,1.6142500938253144,-0.70335835
38,Big Gauss,2,14.404491424560547,0.05924709618215965,3.3953789351067707,0.26225233
39,Big Bim,3,8.123038291931152,0.17462134405403895,1.6444056296218956,-0.60029393
40,Trim,4,13.599434852600098,0.1599353267844894,3.1470387188531004,-0.743323
41,Ensemble,5,13.197999000549316,0.08262816980217842,3.4111488873312275,-1.9870934
42,Small Gauss,0,11.759588241577148,0.20584817873685854,3.794181894063104,0.13149968
43,Small Bim,1,5.566667079925537,0.17601616542737664,1.8426628278913146,-0.606361
44,Big Gauss,2,14.223514556884766,0.07916178912390208,3.1232497441765124,0.26795903
45,Big Bim,3,7.832846641540527,0.2347758609730254,1.6257020034851124,-0.6280371
46,Trim,4,12.342385292053223,0.059890855137668196,3.030931002212753,0.27863675
47,Ensemble,5,13.369855880737305,0.3536273800456597,3.6903270386669296,-2.0048807
48,Small Gauss,0,12.83395004272461,0.12714534554706916,3.0417772979567084,0.025611447
49,Small Bim,1,5.50868558883667,0.3299300811992882,1.8240316402554053,-0.57384175
50,Big Gauss,2,14.510115623474121,0.13251265808306667,3.103137685009584,0.26397496
51,Big Bim,3,7.626312732696533,0.5478957233930549,1.6840621217891167,-0.77698386
52,Trim,4,12.884759902954102,0.24283008261010702,2.7886756844892266,-0.9058895
53,Ensemble,5,13.118799209594727,0.16582262764846192,2.96946522894193,-2.0317464
54,Small Gauss,0,13.26587963104248,0.05137591102784898,3.6259833076968007,0.2542316
55,Small Bim,1,5.879658222198486,0.5056553513138947,1.8662061763547542,-0.63437676
56,Big Gauss,2,14.006804466247559,0.240591313139476,3.2034328138368067,0.27642402
57,Big Bim,3,8.116189956665039,0.13578091288269153,1.5418640164822337,-0.5631905
58,Trim,4,12.764702796936035,0.1631560515583132,2.811694105376607,0.27568492
59,Ensemble,5,13.26885986328125,0.05392035925856138,3.493024277795802,-2.0003664
